Scenario ID,Search Space LB,Search Space UB,Optimum Value,Trial,Final Fitness,Alpha Position
0,-5.12,5.12,0,11,28.49440244630165,"[1.9873616817518158, -0.05556816369966189, -0.9957095616343548, 0.9941603763181481, 0.027436846442659757, 0.021106869934444106, 0.9961974330016998, -0.9990220010346516, 0.9916052808988507, 0.9965028528423234, -0.04563004551737038, 0.06140056838061181, 1.9891884659981143, -0.030792789498986117, 0.993074255126678, 0.996998248202714, 0.03279985476419789, -0.04477449149377133, 0.012528410648277699, 0.06705497453438802, -0.9947057769683019, 1.9946767142965909, -0.023177070890038287, -0.9930325512939886, 0.04816860046040894, 0.9951882697432977, -0.002797404895218847, 0.03849774927094529, 0.014995257758989133, 0.9932086966167057]"
0,-5.12,5.12,0,12,34.506434947688774,"[-0.008671642010336988, 0.0011985525483222403, -0.07995746796310232, 0.007756458753934048, -0.9928971027721012, 1.9861744377859996, -0.9955554048604691, -0.9977067332074938, 0.005945808007885134, 0.054151737452007964, 0.01468480477159062, 0.9915286514502659, -0.02138647705687191, 0.019167328712289766, -0.07223446319544635, 0.004878755278591385, 0.9938514743792517, 0.9984953991477443, -0.026175908386484537, 0.018835538986846423, -1.9893028041817846, 0.11064665661976036, 1.9902354253805674, -0.9937792287276883, -1.989798339225799, 0.9922885196623934, -0.010013161526890357, -1.9879808889882353, 0.9954748849546542, 0.0005765044752319426]"
0,-5.12,5.12,0,13,12.728251686811518,"[0.05075604373636988, -1.9905506677185247, -0.023004938406249842, -0.011534232795080257, 0.018560823100393975, 0.04296654713218562, 0.006712333979440821, 0.9952428812662939, -0.03564981462432115, 0.025259785738235507, 0.029615082402211, 0.0017989198411925145, -0.011427692501114528, -0.01063510774634846, 0.009294017961318346, 0.0026409828826832182, -0.9948264990737146, -0.995885048104407, 0.9968461108798152, 0.9962947182489303, 0.016076718929255662, -0.025562882339587034, 0.00931767716131393, 0.0047016003889881475, -0.04413372475739674, 0.014750386046707753, -0.994887198888394, -0.005084236903971195, 0.040151523827119284, -0.025337806465780766]"
0,-5.12,5.12,0,14,7.563416891246959,"[0.9952713898771766, 0.0018573075637391412, -0.012525554810900452, -0.9971752943469117, 0.9939345672261712, 0.01576300277494269, 0.006314911425071124, 0.03241099507952416, -0.010342461677252501, -0.016504823707188088, 0.00808536511008473, 0.0005842116881451531, 0.9967658119951155, -0.028166704296230805, 0.9947451312384841, -0.9957721894022518, 0.008837239190571111, -0.006907584902848818, -0.004920694249470614, -0.03404463028018778, -0.03319317989064796, -0.0029649853904807344, 0.0038915185356396265, -0.00028538059078542233, -0.006041430423485927, 0.019493983205477683, 0.029119800897514203, 0.02222304491462701, -0.016926975502433272, 0.02874513581452831]"
0,-5.12,5.12,0,15,5.684341886080802e-14,"[7.090988241031937e-09, -3.697482320319523e-09, -5.311306949806749e-11, -1.33750344133432e-09, 3.242268675762716e-09, -2.3396848902734746e-09, -1.017193440588926e-09, -4.689220567399843e-09, 2.442811286584856e-09, 1.4680274773581914e-09, -7.068842400315134e-09, -8.472573753692814e-10, 4.842324763387751e-09, -6.431450927379956e-10, -2.73599187750051e-09, -7.388195832902511e-09, -4.071444514863742e-09, -7.368514687300376e-10, 4.113527296567554e-09, -6.199596391809337e-09, 8.012897012577014e-09, -1.3215556649015525e-08, -7.311806271559362e-09, -5.8629581189961755e-09, -3.068273635165042e-09, 3.0860585198411172e-09, -4.281384136106681e-09, -3.7800500507501056e-09, -4.834364020211979e-10, 3.991289077021065e-09]"
0,-5.12,5.12,0,16,25.405389387699074,"[0.04109140318604432, -0.0017888210279544126, 0.03728068140997909, -0.002547995231996225, 0.07603125601988214, 0.03624456392123676, 0.0452470228991535, 0.901666592062103, 0.007456350154599001, -0.07332968796644668, 0.0214676298249179, -0.972780761678079, -1.0064654733194542, 0.08594114527565733, -0.04757704089326431, 0.9825602224810366, 0.006086199006629656, -0.06943904168378268, -0.024057680625012345, 0.9811999153961448, -0.007899979247914857, -0.9911854212795816, 1.043901466232045, -0.04378602374526075, -0.03406370860731478, -0.11599752748937942, 0.0006281931731821899, -0.16919342550315886, -0.02621677156614055, -0.9676200056858804]"
0,-5.12,5.12,0,17,7.368686223450084,"[0.0055736510069603895, -0.0004492075600266432, -0.9959680628906638, 0.9951154384447092, -0.01945518335960017, 0.013877050973694516, 0.006852509915516336, -0.030280105042242766, 0.02118916400595161, -0.9946523053524396, -0.9964751623891974, -0.003415955601355769, -8.983640345316957e-05, 0.029473988986580935, -0.000606734078405502, 0.002856498506363714, -0.015600173641000303, 0.020757396001823025, -0.003508300992372426, 0.03154964046575781, -0.993896194855898, 0.006659557158348761, 0.0039469254121957675, -0.0007671071779471461, -0.003699819002785709, 0.026387518456269632, -0.017186448935820664, -0.9935413430726383, -0.021384856176519307, -0.030848274458811886]"
0,-5.12,5.12,0,18,9.44468271684724,"[-0.011879424049658915, -0.9932223513565193, -0.007227841030665871, 0.995486138420266, 0.9949126473380385, 0.03066946555373562, 0.002234374799795269, -0.9938892721996764, -0.011060988069007571, -0.033270057634979366, 0.9961524111838287, 0.9939415364327369, 0.0008058703251672128, 0.003202291498312526, 0.003809266039407788, -0.013949058427511929, 0.01482647497685985, -0.01573402058750606, 0.9923590735428247, 0.02118078922635558, 0.04671559675718129, -0.0063397759880841065, 0.004278768057002225, 0.014459972952177935, -0.014557965056820166, 0.0025626297051983826, 0.028123614438448463, 0.0035609676222936315, 0.022852682765206467, -0.9948743977948711]"
0,-5.12,5.12,0,19,9.062387253034103,"[-0.0019524704795959025, 0.03906692449791116, 0.9950873711349653, 0.9947219399023126, 0.013716479319417552, 0.046599901189617654, 0.0021113109880710468, -0.0017491769415558522, -0.013607606039677478, -0.9956677798988762, 0.013900170483645446, 0.00014674158071770194, -0.9927164614822166, -0.019458383396967704, -0.038168936870243364, -0.01280568295923068, -0.03876783969780728, 0.015128552558851815, -0.995018875131449, 0.005763253402471413, 0.9939139850439975, 0.9957660549582199, -0.002750148430188837, 0.030607583004789163, 0.000982927952484225, 0.024343408129594124, -0.020884552356696062, 0.002679415740738378, 0.017878109405401688, -0.016387367663133645]"
0,-5.12,5.12,0,20,6.535386153783918,"[0.027342596130955243, 0.00021960385740271704, -0.03004649598409337, 0.003486403910587299, 0.003015278020628287, -0.03547753531635944, -0.01419674541224758, 0.030091601291290182, 0.00041913842700669335, -0.007398903180899197, 0.012293621051808756, -0.0009888261459343184, -0.0022925079119850977, -0.015902868333850684, 0.0036506616396358993, 0.0071559661892592885, -0.996536291757967, -0.015915987797790798, 0.9947943672758326, -0.0045392864261728505, 0.0006640853453356854, -0.03733000028634237, -0.9958986171132578, 0.032932455167577146, -0.00047318678926266955, 0.023008143723284746, 0.9970803716156862, 0.9960852879652222, -0.0012823346531094515, -0.0055061536446592285]"
